review,rating,category
Gerçektende iğrenç bişey tavsiye etmem,1,ratings
Spariş verdiģim herşey kötü geliyor!!!,1,ratings
Uygulama iğrenç bi ürün aldım geri iade etmek istedim iadem kabul olamadı şu an ürünü napcam bilmiyorum ürün aşırı kalitesiz resimdeki gibi değil. boş verin hiç kendinizi kandırmayın nolcak bişey olmaz diye bende kendimi kandırdım sonucu bu alcanız şeyi çarşıdan alın daha iyi yada kendiniz yapın emek daha önemli yaptırın internete güven olmaz bunu asla unutmayın,1,ratings
Begenmedim,1,ratings
Rezalet,1,ratings
İğrenç,1,ratings
Çok iğrenç bir sitesiniz ayın 14 ünde sipariş verdim hala elime geçmedi kargo firması hiç aldırış etmiyor zaten,1,ratings
Boyle rezalet bir site görmedim insanları mağdur etmekten başka bildiğiniz yok .satıcı eksik ve yanlış ürün gönderiyor kimseyle muhatap olamıyoruz. Tek bildiğiniz bekleyin neyi bekleyim siz beni bekleyeceksiniz ben sizi beklemeyecem.,1,ratings
Çok kötü bir uygulama kampanya diyor yapıyorsunuz kampanyanin para ödülünü vermiyor indirmeye gerek yok arkadaşlar fiyatları da arttırıp indirim yapmış gibi gösteriyorlar ilk fiyatına geri indiriyorlar Trendyol büyük dolandırıcıdır.,1,ratings
"Tek kelimeyle ""kötü"".",1,ratings
Negatif,1,ratings
Çok kötö internetimin ful çekmesine rağmen açılmıyor tekrar dene diyip duruyo ��,1,ratings
Urun sipariş verdik kargo teslimatı yok.memnun degilim.,1,ratings
Berbat,1,ratings
Müşteri hizmetleri çok kötü ulaşamıyorsun,1,ratings
0 0 0,1,ratings
Türkiye'nin en berbat sistemi olan sitesi Saat sipariş verdim ikinci ürün 1 TL gelen saatler çarşıda yol ortasında satilanlardan daha kalitesiz ilk saatin iadesini istedim uyaniklar iade mi kampanyada olan 1tl olan satın parasını yatirdilar. İadesini istediğim saat fiyatı yüksek olan olmasına rağmen. Müşteri memnuniyeti sıfır ilgi alaka sıfır Asla tavsiye etmem gecin bu bizi arayin muhabbetini urunu size verip 1 tl mi aldim gerisi bir daha sizden alisveris yapmak mi asla.,1,ratings
Bana 2 kere sahte bir kere de bozuk ürün sattılar. Asla güvenmem artık trendyola.,1,ratings
Mağazayla iletişime geçebilmek için meenusu yok ürünü diğer satıcilarda 3 onay uresi warken bu uygulamada göremedim Bu yüzden 1 yıldız bile çok olduğunu düşünüyorum,1,ratings
Tavsiye etmiyorum,1,ratings
5 para etmez tv'de indirim var diyorlar uygulamaya giriyoruz ürün ya bitmiş ya alıma kapanmış resmen insanları kandırıyorlar rezillik resmen hiçbir reklamı ciddiye almayın hatta reklam çıktıgında kanal değiştirin.,1,ratings
Beşpara etmez,1,ratings
Traşh ...birde trendyol expres varki ne zaman sipariş verdigimi unuttum,1,ratings
Uygulamanız çok kötü sıfır puan veriyorum. .ekranıma istemeden sürekli resim geliyor,1,ratings
Çöp,1,ratings
Berbat kesinlikle tavsiye etmiyorum. Ne bir müşteri hizmetleri yardım ediyor ne de bir baskasi urunlerin hangi kargo ile gönderileceği yazmiyor bile.,1,ratings
Berbat,1,ratings
Müşteri memnuniyeti sıfır,1,ratings
Sahtekarsınız koleksiyoncular adalet istiyor,1,ratings
uygulam da bir sorun yok lakin trendyol büyük taklacı sildim gitti��������,1,ratings
Sevdimmedim,1,ratings
Spam,1,ratings
Rezillikte nirvanaya ulaşmış bir site bu kadar kısa ve NET,1,ratings
"Rezil bir site reklamlarda surekli bir indirim yalani siteye girincede,VALLA KALMADI SIMI BITTI YAAA, yalaniyla yonetilen 3 kurus etmez bir site",1,ratings
"Reklamlarda dönen tüm ürünler satışa kapalı, tamamen tüketici yanıltan en kötü alışveris sitesidir net",1,ratings
Rezillikte nirvanaya ulaşmış bir site bu kadar kısa ve NET,1,ratings
Bence 5 para etmez bir sistemle çalışıyor benim alışveriş engellemiş sanki parayı onlar bana veriyormuş gibi ne alakaysa bende sildim onları ����������������,1,ratings
Çok kötü bir şey,1,ratings
Çöp,1,ratings
Gına geldi ��,1,ratings
Bu kadar reklam yapıp boğmaya gerek yok zaten berbat bir uygulama,1,ratings
trendyol berbat bi site .ilk defa kullandim bi dahada kullanmam,1,ratings
Kötü,1,ratings
Kötü,1,ratings
Kötü,1,ratings
Süper,1,ratings
Süper,1,ratings
��,1,ratings
��,1,ratings
Müşterisinin arkasında durmayan bir firma bu kadarı yeterlidir diye düşünüyorum,1,ratings
Marka patent başkasına ait olan SAHTE ürün satışına izin veren bir site uzak durun,1,ratings
Mal gibi bir site fincan takımı aldık suluk yok mesaj atıyoruz cevap veren olmadı zahmet edip cevap verdiklerinde ise ürün tükenmiş oldu paramızla rezil oluyoruz hayatımda ilk defa bir şey aldım kesinlikle son olacak mennuniyetim sıfır iğrenç site,1,ratings
"Hiçmi düşünmezsiniz , yada hiçmi saygınız yok.. Şu ana ekrana rezalet resimler koyuyorsunuz , son koyduğunuzsa başlı başına bir fiyasko , herkesi kendiniz gibi umarsızmı zannediyorsunuz. SAYGIDAN NASİBİNİZİ ALMAMIŞSINIZ",1,ratings
Tam bir rezalet 1 tane robot ixomi lydsto R1 süpürge aldım hiç güzel değil bozuk çıktı iade etmek istedim kutu açılmış dediler iade almadılar kardeşim kutuyu açmadan nereden bileceğim iyimi kötümü çalışıyormu diye,1,ratings
"	Koskoca firma siz bile böyle müşteri mağdur ediyorsunuz yazık size . Bundan sonra hepsiburada ya 5 yıldız size ise keşke olsa 0 veririm . O bile fazla .",1,ratings
"	Çok iyi",1,ratings
"	Siliyorum kalite sizi yükseltir para değil",1,ratings
"	Bilgim dışında şifrem degiştirilmiş. Müşteri hizmetlerinize ulasamiyorum.",1,ratings
"	#Trendyolkullanmakullandırtma",1,ratings
"	1 yıldız çok bile. merdiven altı firmalarla çalışıldığı sürece trendyol benim için bitmiştir. 15 liralık pantolonlara 120 lira verecek kadar zengin değilim..",1,ratings
"	Irenç",1,ratings
"	Cok Bile",1,ratings
"	Şu uygulamaya 4/5 yıldız veren memnun kalan yok neredeyse resmen dolandırıcılar",1,ratings
"	Silinsin arasında",1,ratings
"	��️",1,ratings
"	vasat bi uygulama, müşteri hizmetlerinin herhangi bi vasfı yok. satıcı ve kargo firmaları başına buyruk hareket ediyor. Kurumsal bi firma değil",1,ratings
"	Beğenmedim",1,ratings
"	Hayır olmasını istemiyorum",1,ratings
"	Berbat bir uygulama çok karışık",1,ratings
"	Boş muhabbet",1,ratings
"	Kötü ve kalitesiz",1,ratings
"	Trendyol un %75 hissesi bir çin firmasına ait. Hepsiburadanın sa tamamı Türklere ait. Ülkemizin kazanması açısından hepsiburadayı kullanmalıyız bence. İki uygulamada aynı kalitede. Neden milletimize kazandırmıyoruz?",1,ratings
"	Çöp bi site ürünün arkasında durmuyorlar.",1,ratings
"	Memnun değilim",1,ratings
"	Çok kötü kendini bozdu elite üye iken üyeliğimi iptal etmeyi düşünüyorum berbat",1,ratings
"	Sıkıcıydı",1,ratings
"	Berbat asla önermiyorum",1,ratings
"	İgrenccccc",1,ratings
"	Hayal kırıklığı",1,ratings
"	Kesinlikle ve kesinlikle burdan alışveriş yapmayın pişman olursunuz ..akıllı olun !!!",1,ratings
"	Asla güven vermiyor. Beğenmediğiniz veya hasarlı gelen ürünleriniz elinizde patlıyor.",1,ratings
"	Bugüne kadar her kim trend yolda yapılan alışverişler de hiç kimseye doğru ürün gelmemiştir artık trent yol değil dolardırıcı yol hiç kimse kalmasın.....kimsenin parası çöpe gitmesin yazık........",1,ratings
Hesabımda ve bütün adreslerimde kendi telefon numaram olmasına rağmen daha önce aldığım bir ürün için farklı numaraya onay SMS gidiyor.,1,bug report
Trendyol cüzdanımdan alışveriş yaptıktan sonra kalan tutarı kartıma geri yuklemeleri çok geç suruyor Gerçekten her alışverişten sonra sorun yaşıyorum Sırf bu yüzden hesabımı kapatabilirim,1,bug report
Paylaş Kazandan yine kupon vermediniz.,1,bug report
Kuponum tanımlanmadı sebebini sorduğumda mevcut olmayan sebepler ileri sürülerek yardımcı olamayacaklarını söylediler. Yardımcı olamıyorsanız neden varsınız diye sorguladım biraz :) İronik :),1,bug report
Kupon için uğrasıyorsunuz kuponunuz hesapınıza tanımlanmıyor mahcup oluyorsunuz bu konuda memnun olmadım,1,bug report
Çok memnun kaldığım bir uygulamaYDİ market alışverişini cüzdan ile yapabilirsiniz diyorsunuz ama ödeme kısmında çıkmıyor 4-5 kez canlı yardıma bağlandım hiçbir sonuç alamadim,1,bug report
"Uygulamaya ne zaman girsem""Bir hata oluştu,şu an isteğinizi gerçekleştiremiyoruz. Lütfen daha sonra tekrar deneyiniz"" diye bir yazı çıkıyor,tekrar dene tuşuna basıyorum,yine aynı yazı yine aynı yazı! Aradan biraz zaman geçiyor, tekrar uygulamaya giriyorum ama yine aynı problem! En garip olan şey de şu;internet sitesinden giriyorum,bana uygulamayı indirirsem daha iyi çalışacağını söylüyor. E hani? Lütfen bu hata düzeltilsin.Yoksa uygulamayı sileceğim, çalışmadığı halde niye telefonumda dursun ki?",1,bug report
Donuyor,1,bug report
Reklamlardaki ürünlerin hiçbiri yok.hepsi tükenmiş.YERSEN. indirmemle silmem bir oldu.,1,bug report
Çok kötü bişey aldığımda eror veriyor tavsiye etmiyorum,1,bug report
Reklamlarda arzum blender seti 27 28 29 nisanda100 tl diyo stenizde 200 birdaha asla spariş vermem stenizden,1,bug report
eski marka telefonlarda trendyol cüzdanını kullanamıyoruz,1,bug report
indirdim hesap açtım şimdide kapatmak istiyorum hangi cihazdan girersem giriyim hesap kapatılmıyor defalarca denedim lütfen ilgilenin,1,bug report
"Hesaba giriş yapamıyorum acil çözüm bulun yoksa daha ilgilenmem yukarı çıkması için kskdlxödlxöxöxöldlxödmxldlsöxöslxöxmwlmzlxöxpdöxldöldöxlsözlzözlzölzözlzözlzölzçslzöxözöxözözözöxmxmzözlslzlzlkzlzlslzlzlsllslslslslslslslslslslslahhahahajahahhahahahahahahhahahahahahahahahhahahahahahahahhahahahahahgagagagagahahahhsbsnxmdkx dlx lx. Xlxöldöxldödoxözlçspflslfıeşrksşjfşdjcö, ncöxncçxncçdjdşjfşdjfşdıfpsjfşdıfşjxmncöxmxkxkskxkkdlxlxskkdmdmxmmxmxnödödkmzödmxöxöödlsçxöeşsöfpşslszidldşdldşdlşxöxçxöfşçdçx",1,bug report
Trendyol uygulamasını neden indiremiyorum,1,bug report
Kuponum verilmedi,1,bug report
Üyelik kabul etmiyor o yüzden hiç bir şey alamıyorum,1,bug report
Kaydet kazan ödülümü verin dolandırıcılar!!!,1,bug report
uzun bir süredir uygulmaya girerken sorun yaşıyorum. bazen açmıyor bazen hata veriyor tekrar denediğimde yine aynısı. sırf 1 ürüne bakmak için kaç kere deniyorum olmuyor artık bıkkınlık geldi. bir an önce düzeltilse keşke yoksa bu gidişle uygulamayı sileceğim kesin.,1,bug report
Trendyol'dan 18 Nisan tarihinde yaptığım alışverişi aynı gün iade ettim. Onlar da bana aynı gün iadenizi gerçekleştirdik diye mail attılar. Referans numarası verdiler ancak banka Trendyol tarafından kendilerine herhangi bir iade yapılmadığını söyledi. Üzerinden iki hafta geçti hala iade edilmemiş. Lütfen biran önce para iademin gerçekleştirilmesini istiyorum.,1,bug report
Arkadaşlar sakın burdan sipariş veripte kendinizi rezil etmeyin tam bi sahtekarlık sistemi ürün seçeneklerini yazıyorsun farklı ürünler gösteriyor ve sürekli saçma sapan kategorilere yönlendiriyor ve tam bi sahtekarlık ve çakallık kazık sistemi var Şeref yoksunu haysiyetsizler,1,bug report
3 seferdir paylaş kazan yapıyorum kuponumu yatormıyorsunuz. Yok bot hesap yok şu yok bu. 30 kaydedilmenin hangisi bot söyleyin ozaman. İşinize gelince herşey sistemsel,1,bug report
1 tane 19tl kamp sandalyesi reklamı yaptınız TV lerde anında girdik yok 1 tane ürünün reklamını yapıyor bim gibi,1,bug report
Kaydet kazan kampanyasına katıldım her herseyi yaptım ama kuponumu vermediler benim gibi yüzlerce kişi mağdur. lütfen kuponumuzu verin!,1,bug report
"Paylaş kazan kampanyasında 27 kaydedilmem olmasına rağmen kupon gelmedi ,millet bot hesaplardan yaparken biz gerçek kullanıcılar tarafından kaydedilmeye ulaşıyoruz ama sonuç yok. İnsanların zamanını boşuna tüketmeyin ,bu nedenle buradan daha alışveriş yapmam ,Trendyol pişmanlıktır ,keşke Hepsiburada kadar şeffaf olabilseniz.",1,bug report
Kargo sınırı çok fazla pandemi döneminde dışarı çıkamadığım için birçok şeyi online alıyorum fakat kargo ücretleri çok fazla aynı satıcıdan 50tl lik bir ürün almak istemiyorum ayrıca kampanya dahilinde bence hakedilen kuponları bir çok kişinin hesabına tanımlamadilar 25 kaydedilmeye kupon vericekti 48 kaydedilme yaptım kuponum tanımlanmadi müşteri hizmetleri çözüm sunmuyor tam bi fiyasko,1,bug report
Son derece kötü bir uygulama . Son güncelleme sonrası sürekli hata veriyor. Web üzerinden direkt bağlantı daha iyi ve sorunsuz. İyi çalışan bir sistem güncelleme yapacağım diye neden bozulur anlamak mümkün değil.,1,bug report
Cüzdanda ki parayı karta geri almak istedim gelmiyor paramda gitti.alişveris yapınca anında parayı çekin ben parayı almak istediğimde saatlerce bekliyim,1,bug report
Uygulama hiç bir şekilde telefonumda açılmıyor neden,1,bug report
Uygulama güzel ama satıcılara soru soramıyorum herseyi reddediyor,1,bug report
"Reklamlarda dönen tüm ürünler satışa kapalı, tamamen tüketici yanıltan en kötü alışveris sitesidir net",1,bug report
"5 para etmez bir şirketin saçma uygulaması; internet sitesinden ödeme yapabiliyorken uygulamada hata veriyor, satıcıya soru soramıyorum onda da hata veriyor ürünlere yorum yapılamıyor bu da cabası. Gına geldi artık... Kısaca kullanmayın, kullandırmayın.",1,bug report
Uygula.a çok güzel ama sıkıntılar var kendime bisiklet bakıyorum hep küçükler iicn var 10 11 yaş bisiklet arıyorum gidiyor bebek bisiklet flan gösteriyor ne diyim,1,bug report
Rezalet. Paylaş Kazan yaptı. Kardeşim annem babam. Beş kuruş etmezsiniz. O kadar emek ettim.,1,bug report
Sisteme girilemiyor,1,bug report
Sepete ekleyip 2 dakikada iptal ettiğim ürün kayıtlı karttan çeken Size artık güvenmiyorum.,1,bug report
Reklam lar yalan ürünler yok yaziklar olsun.,1,bug report
"Merhaba, hesabıma giriş yapamıyorum sifre yenile diyorum mail geliyor ama şifre sıfırlama yerine değil yine giriş kısmına yönlendiriyor. Giris yapamıyorum şifre değiştiremiyorum. İlgilenirseniz sevinirim",1,bug report
Ben böyle saçma bir şey görmedim telefon numaramı kapattım şimdi yeni numaramı eklemek istiyorum ama olmuyor asistan ile görüştüm yapabilecek bir şeyimiz yok diyor,1,bug report
Ben yaklaşık 1 senedir trendyol kullanıcısıyım hiçbir sorun yoktu taki bu güne kadar ben ders arasında trendyola ürün bakmak için giricektim ama benim hesabımdan çıkmış ve asla Epostamı kabul etmiyor.Sonra belki şifre yanlıştır diyip değiştirdim ve değiştirdiğimde bu sefer giriş yapa bastığımda ekranın altında gri şey çıktı ve sonra hesabıma girmedi ben bunun düzeltilmesini istiyorum.Eğer kullanıcaksaniz güzel bir uygulama ama bazen çok pis çuvallıyabiliyor.,1,bug report
Sipariş verdiğim ürünleri değerlendiremediğim ve 5 temsilci sorunu çözemediği için 1 yıldız. Sürekli reklamlar verip telefonlara bildirimler yollamakla olmuyor trendyol. Biraz sorunlara çözüm odaklı olun.,1,bug report
Uygulamaya üye olamıyorsunuz,1,bug report
Sipariş verirken kartım doğru olmasına rağmen sms kodu hatası veya kart bilgisi yanlıs diyor ama doğru kac gündür olmuyor,1,bug report
2 yıl önce müşteri memnuniyeti kuponu tanımlarken 2043 ve 2044 yılları arasında tanımlanmış. O bildirimi bi türlü düzeltmediler. Bu konuyla ilgili çoğu kez canlı yardıma yazdım.Sadece 2043 yılına geldiğimde silinebilirmiş. Şaka gibi! Silinmedi gitti.,1,bug report
Sepete eklediğim ürünleri sepetten kaldırınca önceden eklediklerim olarak ürünlerim yine sepete görünüyor. Bunu düzeltebilirseniz çok iyi olur.,1,bug report
Ben trendyolda sürekli ödeme vs problem yaşıyorum sırf ondan dolayı diğer alışveriş sitesinden almak zorunda kalıyorum. Bu zamana kadar 1 kere sipariş verebilirim. Fakat diğer yerden Bir sürü siparişim var ve kolayca ödeme yapıyorum .sırf trendyolda bu sıkıntıyı yaşadığım için Neden bu problem yaşanıyor. Dünden beri alicagim 3 ürün vardı alamadım. 2siini diğer sitede buldum oradan sipariş verdim. Geriye kalan 1 ürünü hala satın alamiyorum başka yerde de yok.20 kere kart bilgisi girdim.gecersiz,1,bug report
"Trendyol-asistandan bilgi alınamıyor,",1,bug report
Bazı kullanıcılar değerlendirme yaparken fotoğraf yükleyebilirken bazıları yükleyememektedir. Bunu düzelmesini talep ediyorum.,1,bug report
"Sisteminizden telofon numaram güncel görünmesine ve müşteri hizmetlerine bildirmeme ramen alışveriş sonrası malesef bankanın onay kodu başka bir numaraya gitmesinden dolayı alışverişlerimi tamamlayamadığından uygulamanızı silmek zorunda kaldım ( bankayı aradım, oradaki telofon numaramın güncel olduğunu sorunun sizin sistemden kaynaklı olduğu söylendi )",1,bug report
Milleti kandırıyorsunuz televizyona reklam veriyorsunuz sitenizde reklamdaki ürünleri alamıyoruz. Milleti enayi yerine koymaktan vazgeçin artık Uygulamayı indirin indirimli ürünü alın diyorsunuz uygulamayı indiriyoruz ürün yok,1,bug report
Sözde kampanya vardı 25 kaydedilmeye 25 tl verecekti günlerce uğraştım koleksiyonum 40 kaydedilmeye kadar ulaştı ama ne kupon ne başka bisey var trendyol gibi büyük bir firmadan böyle birsey beklemezdim bu arada hesabım bot değil uzun süredir kullandığım bir hesap aynı cihazdan farklı hesaplar açmadım doğru dürüst bir şekilde emek vererek yaptım ancak emeğimin karşılığını alamadım müşteri temsilcisine bağlandım ve yapabileceği birsey olmadığını söyledi müşterilerine değer verirsiniz sanmıştim,1,bug report
İndiremiyorumm,1,bug report
"Trendyol express kadar saçma bir kargo ağı yok, kargom bana ulaşmadan iadeye gönderilmiş üstelik beni aramadılar bile, kargo ağı var şubenin iletişim numarası yok",1,bug report
Güncelleme sonrası berbat oldu.Trendyol cüzdan kullanarak alışveriş yapamıyorum,1,bug report
Sorularım reddediliyor,1,bug report
4 tane ürün spariş ettim 1 tane geldi ve spariş edildi gösteriliyor hiç tercih etmem,1,bug report
Çok kötö internetimin ful çekmesine rağmen açılmıyor tekrar dene diyip duruyo ��,1,bug report
Ürün iadelerinde hem gecikme yapiliyor hemde eksik yatiriliyor sorun ve oneriden msj atiyorum dönüş yok. Kargolarda diger online alisveris yerlerinden cok gec geliyor SAYIN YETKILI kim takip ediyor firmalarinizi,1,bug report
"Uygulamadan uygulama hizmetinden müşteri hizmetlerinden hiç memnun kalmadım. Dün 3 tane sipariş vermek istedim ama ekranda ""siparişiniz oluşmadı daha sonra tekrar deneyin"" diye bildirim geldi fakat kartımdan siparişlerin parası tahsil edildi ama hiçbir yerde siparişlerim görünmüyor. Müşteri hizmetlerine bağlandım sipariş yok diyor uygulamada sipariş görünmüyor. Ücret iadesi talep ettim tarafıma yapılmadı en kısa zamanda tüketici mahkemesine gideceğim beni mağdur ettikleri için.",1,bug report
E-postamı değiştiremiyorum bu nasıl uygulama ya cidden 1 yıldız hakkediyor .,1,bug report
2 yıldır aktif kullanıyorum ama nedense 2 gündür açılmıyor sildim yeniden yükledim yine aynı telefonu bile sıfırladım yine aynı 7-8 bin TL lik bilgisayar alış veriş leri yapmayı pilanlıyodum hepsi suya düştü,1,bug report
"Haksız gerekçelerle kupon yatırımıyorsunuz, emek hırsızlığı bu, zaman hırsızlığı. Her koşula uymama rağmen tek hesap tek koleksiyon ile kampanyaya katıldım. Birden fazla üyelik olması gibi komik bir gerekçe sunuluyor. Uygulamayı kaldırıp tarayıcıdan yıllardır ve sürekli alışveriş yaptığım hesabımı kapatıyorum.",1,bug report
3500tl lik alışverişim de 35 TL Trendyol cüzdan puanı vericekti verilemedi bu son alışverişim oldu bı daha asla bu siteden bir şey almam,1,bug report
Trendyol da üye olduğum halde uygulama yanlışlıkla silindi tekrar yükledim sonra Facebook'a bağlanarak kullanıyordum tekrar dan baglanmadi ve Trendyol cüzdanım da da param vardı giriş yapamıyorum yardım.....,1,bug report
İlk tercih ettiğim online alışveriş sitesiydi ama artık başka siteye geçme vakti geldi bı kampanya yapıyor katılıyoruz kupon tanımlanmıyor 25 kaydedilme sınırı koymuşlar 55 kişiye kaydettirdim kupon tanımlamadilar müşteri hizmetleri çözüm sunmuyor ayrıca kargo ücretSiz için sınır 50tlye çıkartıldı farklı satıcıdan sepet toplamı 50 olsa neyse Trendyol birçok kişi gibi benimde gözümden düştü ne yazık ki,1,bug report
Trendyolda resimler görünmüyor boş boş şeyler var önermem ve yorum yazdığımda yıldız istiyor o yıldızı bile haketmiyor !!!!!,1,bug report
Hesap cüzdanına para yukledim buna ragmen hizli marketten alişveris yapamadım rezillik ya vallahi,1,bug report
Koleksiyon oluştur paylaş Kazan kampanyasina katıldım.daha öncede kupon tanimlanmisti şimdi kupon tanımlanmadi.sebepte aynı ip aynı data verilerinden girilmiş olması.esimin farklı hesap farkli telefon olmasına rağmen haksızlık yapılıyor.madem kupon vermemek icin bu kadar detay bakicaksizin lütfen başta belirtin bizde ona göre katılım sağlayalım.ve bu haksızlık tan dolayı uygulamayi siliyorum.dilerim haksızlığın olmadigi bir dünyada yasariz,1,bug report
Telefon numaram güncellenmediği için alışverişimi tamamlayamıyorum,1,bug report
Çok kötü bir uygulama kampanya diyor yapıyorsunuz kampanyanin para ödülünü vermiyor indirmeye gerek yok arkadaşlar fiyatları da arttırıp indirim yapmış gibi gösteriyorlar ilk fiyatına geri indiriyorlar Trendyol büyük dolandırıcıdır.,1,bug report
Kampanya dediginiz urunu sepete eklemek istedigimizde Urun satisa kapanmistir diye uyari veriyor ������,1,bug report
uygulamayı indirince eski sürümünü indiriyor??,1,bug report
Saat siparis vermek istiyorum 3 tane saat siparisi ekliyorum sepete fazlasiyla para ekliyor ustune benm hesapladigim para baska sepetteki para cok baska ve dun sepete ekledigim saatler bugun satisa kapaniyor,1,bug report
Siparis verdigim ürün kargoya verildi bilgisi geliyor ama teslim edilmiyor kargonun durumunu sorduğumda ise idade edildi mesaji geliyor ben iade istemedimki.... açıklamada kargom hareketsiz gorunuyormus verirsen surat kargoya hareket etmez tabiki... yazik....,1,bug report
"Muhattap bulamiyorum, trendyol asistan calismiyor, musteri hizmetlerine baglanamiyorum",1,bug report
HESAP OLUŞTURULAMIYORRRRRRRR INDIRMEYINNNNNN,1,bug report
Facebookla bağlanamıyorum,1,bug report
Reklamdaki fiyatlar uygulamada yok,1,bug report
Aldığım bir ürüne son anda kargo ücreti eklendi ürünü iptal etmek istediğim de kargo ücretini iade edilmediğini gördüm üstelik ürün hazır aşamasında olmasına rağmen iade zorluğu yaratıyorlar trendyol cüzdanı kullanmak istememe rağmen trendyol cüzdanı aktif ettirmeyi zorunlu kılıyor bi daha bu siteyi kullanmayacağım ne zaman bireyler alsam hep pişman etti..,1,bug report
İndirdim açmıyor bir yıldız bile çok durmadan atıyor hem mesaj reklem yapıyorlar hemde sistemi atıyor saçma sapan uygulama,1,bug report
Sepetime ürün ekliyorum ve 2 saat olmadan kayboluyor,1,bug report
Uygulamanız çok kötü sıfır puan veriyorum. .ekranıma istemeden sürekli resim geliyor,1,bug report
İğrenç bir uygulama istediğini yazıyorsun mesala dondurma yaziyon dondurma kapları çıkıyor,1,bug report
5 yıldız vermiştim geri alıyorum cuzadana para yükledim numaramı güncelledim ama hala alışveriş yaparken eski numarama doğrulama kodu gidiyor lanet olsun böyle uygulamaya böyle sisteme siliyorum sizi de,1,bug report
Hesap acamiyorum giris olmuyor sinir oldum amina kodugumun uygulamasindan duzgun yapin aq,1,bug report
Yavaş hata,1,bug report
"	kaydet kazan kuponum gelmedi",1,bug report
"	Elit üyeyim, cüzdan hesabıma kredi kartımdan yükleme yapamıyorum, teknik hata verip duruyor. Uygulamayı ve kredi kartımı silip yeniden tanımlıyorum değişen bir şey yok, ilgilenen yok...",1,bug report
"	Çooook kötü kupon kullancam kullanilmiyo ANNEM BABAM DA SİLDİ ZATEN (***)GİBİİ",1,bug report
"	Uygulamaya bisey oldu yemek siparişi veremiyoruz kendi kendine iptal ediyor siparişi verir vermez bnm telefondandı sıkıntı var dedim 3 kişiden rica edip sipariş verdik yine aynısı oldu",1,bug report
"	Kuponları ı asla kullanamıyorum",1,bug report
"	E postamı doğrulamamı istiyor deniyorum ya bu e postayla dogrulanamaz diyor ya da kod gönderir gibi yapıyor göndermiyor yeni e postada eklenmiyor bazı ürünlerim kırık geldi yamuk geldi yine sipariş verdim halen aynı yerde ilerleme yok",1,bug report
